PARTICLES 2428
-0.029967 0.017177 0.089712
-0.030189 0.01575 0.090449
-0.030394 0.014242 0.091083
-0.03083 0.012771 0.092174
-0.031285 0.01132 0.093261
-0.031465 0.0098011 0.093983
-0.031666 0.0083676 0.094636
-0.032259 0.0068559 0.095968
-0.032861 0.0053189 0.097882
-0.03378 0.0036445 0.10009
-0.034302 0.0020044 0.10126
-0.034441 0.00032142 0.10174
-0.034788 -0.0012432 0.1025
-0.035356 -0.0029691 0.10363
-0.036151 -0.0047604 0.10542
-0.037328 -0.0065166 0.10844
-0.028476 0.018683 0.089357
-0.028848 0.017497 0.090649
-0.029011 0.015981 0.091194
-0.029238 0.014452 0.091828
-0.029717 0.01297 0.092981
-0.030082 0.011456 0.093898
-0.030395 0.010025 0.095017
-0.030739 0.0084985 0.095871
-0.031213 0.0070189 0.097203
-0.031917 0.00549 0.099052
-0.032605 0.0037769 0.10104
-0.033061 0.0021392 0.10231
-0.033169 0.00043933 0.10277
-0.033579 -0.0012391 0.10371
-0.034186 -0.0030498 0.105
-0.034922 -0.00491 0.10664
-0.035713 -0.0068014 0.10849
-0.026684 0.018528 0.088389
-0.027242 0.01754 0.090352
-0.027769 0.016069 0.091807
-0.028043 0.014605 0.092676
-0.02842 0.013166 0.093701
-0.028654 0.011632 0.094473
-0.028949 0.010117 0.095493
-0.029279 0.0086552 0.096431
-0.029926 0.0071465 0.0983
-0.030694 0.0055875 0.10019
-0.031203 0.0039398 0.10191
-0.031727 0.0021675 0.10339
-0.031918 0.0004768 0.10434
-0.032261 -0.0013 0.10512
-0.032716 -0.0031254 0.10613
-0.033554 -0.0050802 0.10792
-0.034041 -0.0069646 0.1092
-0.02505 0.018481 0.0879
-0.025648 0.017538 0.090007
-0.026461 0.016313 0.092413
-0.026846 0.014798 0.093653
-0.027325 0.013415 0.095153
-0.027498 0.011851 0.095698
-0.027701 0.010284 0.096359
-0.0279 0.0087805 0.097292
-0.028446 0.0072406 0.098928
-0.029261 0.0057138 0.10134
-0.029756 0.0040237 0.1027
-0.030124 0.0023411 0.10398
-0.030575 0.00041248 0.1055
-0.030903 -0.0013891 0.10659
-0.03123 -0.0032045 0.10731
-0.031827 -0.0049815 0.10848
-0.032405 -0.0069379 0.10998
-0.023543 0.018482 0.087832
-0.024191 0.017593 0.090149
-0.024966 0.016352 0.092413
-0.025224 0.014936 0.093679
-0.025726 0.013446 0.095185
-0.025914 0.011895 0.095904
-0.026348 0.010395 0.097258
-0.026593 0.0089288 0.098528
